iter	RMSE
0	11.27572525
1	10.95718482
2	10.64317226
3	10.34277851
4	10.05386149
5	9.772284165
6	9.49257598
7	9.228762051
8	8.969772654
9	8.720361247
10	8.476609076
11	8.24282952
12	8.013542236
13	7.79023719
14	7.57930873
15	7.376751379
16	7.176483443
17	6.978947176
18	6.787542503
19	6.596959712
20	6.415451357
21	6.241736934
22	6.075062158
23	5.910918767
24	5.749110453
25	5.592023114
26	5.445149816
27	5.298677169
28	5.156661688
29	5.019640045
30	4.885951278
31	4.756996431
32	4.637681216
33	4.510837586
34	4.392387171
35	4.278202719
36	4.166360068
37	4.055183838
38	3.944409684
39	3.839680692
40	3.74234444
41	3.646045291
42	3.558493497
43	3.467609281
44	3.377576909
45	3.295889894
46	3.207550358
47	3.128593312
48	3.047851312
49	2.974876138
50	2.90430164
51	2.834924103
52	2.768565407
53	2.699037055
54	2.636761218
55	2.573566252
56	2.508986231
57	2.452193971
58	2.394397508
59	2.340590067
60	2.287008425
61	2.230928397
62	2.179307974
63	2.131058985
64	2.081006757
65	2.034240632
66	1.986234513
67	1.938257358
68	1.890980161
69	1.846597512
70	1.805692527
71	1.766802109
72	1.727559449
73	1.689011855
74	1.64850671
75	1.612648018
76	1.577233336
77	1.545647074
78	1.512363575
79	1.479707253
80	1.44855424
81	1.420838996
82	1.390614392
83	1.362148867
84	1.334519497
85	1.308500219
86	1.282492251
87	1.257574305
88	1.231833107
89	1.208768087
90	1.185101296
91	1.167070323
92	1.144057024
93	1.124451667
94	1.101936247
95	1.082699092
96	1.062346518
97	1.04363062
98	1.025534915
99	1.008148836
100	0.9916733275
101	0.9751833034
102	0.9597451581
103	0.9444218787
104	0.930391679
105	0.9149489476
106	0.9011012725
107	0.8886417017
108	0.8754952525
109	0.8637660346
110	0.8532494878
111	0.8415017412
112	0.8302153406
113	0.8192622781
114	0.8085333446
115	0.7981755487
116	0.7886530755
117	0.7790236441
118	0.7706753898
119	0.7611703428
120	0.7535241288
121	0.746330485
122	0.7381168817
123	0.7301833498
124	0.7238359889
125	0.7159622988
126	0.710053922
127	0.7036490707
128	0.6969289186
129	0.6907927352
130	0.6849358476
131	0.6793461812
132	0.6740120835
133	0.6687343879
134	0.6642803365
135	0.6582886707
136	0.6535997787
137	0.6492780313
138	0.6445300094
139	0.6408865732
140	0.6372557486
141	0.6328870539
142	0.6295127047
143	0.6253229473
144	0.6221020007
145	0.619379596
146	0.6174608968
147	0.6136451884
148	0.6103263674
149	0.606961013
150	0.6043401678
151	0.6014317928
152	0.5991346154
153	0.5963338016
154	0.5944748876
155	0.5922190175
156	0.5902947661
157	0.5880059454
158	0.5857525049
159	0.5840914501
160	0.5823158699
161	0.5804211866
162	0.5787959262
163	0.5766681836
164	0.5739688133
165	0.5720724761
166	0.5711177758
167	0.5701621474
168	0.5681814397
169	0.5663375507
170	0.5647434023
171	0.5636102387
172	0.5621742147
173	0.5610156933
174	0.560335374
175	0.5592409812
176	0.5573647295
177	0.5557932742
178	0.5545023271
179	0.5534047519
180	0.552491872
181	0.5515949919
182	0.550331709
183	0.5491264364
184	0.5485421604
185	0.5476513522
186	0.546691276
187	0.5464672869
188	0.5456169125
189	0.5450400635
190	0.5445651166
191	0.5440706177
192	0.5426020391
193	0.540987553
194	0.5398644983
195	0.5392431058
196	0.5387706894
197	0.5384463574
198	0.5379127584
199	0.5366219209
200	0.5352815328
201	0.5348684093
202	0.5344211757
203	0.5340717528
204	0.5331299571
205	0.5327946653
206	0.5323144621
207	0.5320332614
208	0.5316996342
209	0.5315774859
210	0.5308160941
211	0.5305187884
212	0.5291847619
213	0.5288904531
214	0.5280846728
215	0.527375923
216	0.5268346463
217	0.5263548989
218	0.5258556512
219	0.5255262198
220	0.5252899491
221	0.5250538582
222	0.5248201163
223	0.52416101
224	0.5237627391
225	0.5231031458
226	0.522800234
227	0.52233777
228	0.5209917478
229	0.520617049
230	0.5202991307
231	0.520130922
232	0.5197821081
233	0.5196374516
234	0.5193430272
235	0.51912668
