iter	Passed	Remaining
0	2	1477
1	5	1305
2	7	1248
3	10	1247
4	12	1217
5	15	1252
6	18	1279
7	20	1261
8	22	1251
9	25	1240
10	27	1232
11	30	1226
12	32	1209
13	35	1234
14	38	1238
15	40	1223
16	42	1214
17	44	1202
18	47	1192
19	50	1201
20	52	1193
21	55	1206
22	57	1201
23	60	1192
24	62	1192
25	64	1183
26	69	1219
27	72	1225
28	74	1217
29	77	1210
30	79	1204
31	82	1208
32	84	1202
33	87	1195
34	89	1193
35	92	1188
36	94	1182
37	96	1175
38	99	1172
39	102	1176
40	104	1173
41	107	1167
42	109	1162
43	111	1156
44	113	1152
45	116	1152
46	119	1148
47	121	1144
48	123	1139
49	126	1134
50	128	1134
51	131	1130
52	133	1126
53	135	1121
54	138	1117
55	140	1112
56	142	1107
57	144	1102
58	147	1104
59	150	1101
60	152	1097
61	154	1094
62	157	1090
63	159	1086
64	162	1085
65	164	1082
66	167	1079
67	169	1076
68	171	1073
69	174	1069
70	176	1065
71	178	1063
72	181	1064
73	184	1060
74	186	1058
75	189	1054
76	191	1051
77	194	1050
78	196	1046
79	198	1043
80	201	1040
81	203	1037
82	206	1037
83	209	1035
84	211	1032
85	213	1028
86	216	1025
87	218	1022
88	220	1018
89	222	1015
90	225	1012
91	227	1009
92	229	1005
93	232	1002
94	234	998
95	236	996
96	239	993
97	241	990
98	243	987
99	246	984
100	248	981
101	250	978
102	253	978
103	256	975
104	258	973
105	260	969
106	263	966
107	265	963
108	267	960
109	270	958
110	272	955
111	275	953
112	277	950
113	280	948
114	282	946
115	285	944
116	287	942
117	290	939
118	292	937
119	295	934
120	297	932
121	299	929
122	302	926
123	304	923
124	306	920
125	309	918
126	311	915
127	314	913
128	316	910
129	318	907
130	321	905
131	323	902
132	326	900
133	328	897
134	331	895
135	333	893
136	336	890
137	338	887
138	345	896
139	347	894
140	350	891
141	352	888
142	355	886
143	357	884
144	359	881
145	362	878
146	364	876
147	367	873
148	369	871
149	372	868
150	374	866
151	377	863
152	379	861
153	382	858
154	384	855
155	386	853
156	389	850
157	391	848
158	394	845
159	396	842
160	399	840
161	401	837
162	404	835
163	406	832
164	408	830
165	411	827
166	413	824
167	416	822
168	418	819
169	422	820
170	428	825
171	432	824
172	434	821
173	439	823
174	443	823
175	446	821
176	449	820
177	453	820
178	455	817
179	458	814
180	460	812
181	463	809
182	465	806
183	468	804
184	470	801
185	473	798
186	475	796
187	477	792
188	479	789
189	482	786
190	484	783
191	487	781
192	489	779
193	492	776
194	494	774
195	497	771
196	499	768
197	502	766
198	504	763
199	507	760
200	509	758
201	512	755
202	514	753
203	517	750
204	519	748
205	522	745
206	524	742
207	527	740
208	529	737
209	532	735
210	534	732
211	537	730
212	539	727
213	542	724
214	545	722
215	547	719
216	549	717
217	553	715
218	555	713
219	558	710
220	561	708
221	563	705
222	566	703
223	568	700
224	571	698
225	574	696
226	576	693
227	579	691
228	581	688
229	584	686
230	587	683
231	589	680
232	592	678
233	596	678
234	601	678
235	606	677
